[container_monitor] pf-test-2: cgroup path = /sys/fs/cgroup/system.slice/docker-e99604a269e2a8a0adecf8e7e59f26de3a812968dbddba2ab1905d8a51b82bf4.scope
[container_monitor] pf-test-2: current=185.5MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=325046 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=329718 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=330422 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=331178 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=331770 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=339012 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=339745 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=340563 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=341213 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-test-2: current=185.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=345013 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
